Time		ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16	ROI17	ROI18	ROI19	ROI20	ROI21	ROI22	ROI23	ROI24	ROI25	ROI26	ROI27	ROI28	ROI29
0.3		1.015111	1.0036015	1.024533	1.031782	0.9928163	1.0034128	1.02816	1.0060068	1.0074608	0.9981559	0.97069	1.0066093	1.063857	1.013577	0.9981247	1.022534	0.9941746	1.027412	0.960718	1.021209	0.99908233	1.00087467	0.982631	1.036957	0.9922642	0.983678	1.059232	1.014339	0.98227
0.31		1.10379	0.997334	1.0062022	1.027583	1.039589	1.0096485	1.0069945	1.011814	1.014117	1.098604	1.068133	1.004195	1.029396	1.02947	1.057938	0.9977954	1.0067849	1.067293	1.026786	1.059396	0.9946837	1.05742	1.017909	0.9959456	1.036775	1.035711	1.039202	0.974058	1.0052204
0.32		1.073027	1.012657	1.028061	1.037811	0.9919643	0.976047	1.013807	1.014588	1.0092286	1.049646	1.039009	1.021014	0.99976616	1.0025728	1.032511	0.960254	1.037077	1.029844	1.049519	1.0043379	1.049848	1.045643	1.017379	1.038476	1.0708	1.081713	1.024176	1.050322	0.989593
0.33		1.035785	1.013852	1.013278	1.0093816	1.012458	0.9787	1.035802	1.037398	0.972527	1.01909	1.0227	1.021855	1.0090792	1.026756	1.10026	1.030004	1.041304	1.021995	1.094764	0.9977606	1.0043456	1.041108	1.016804	0.949202	1.0063003	1.0046289	1.051721	1.061647	1.038986
0.34		1.034864	1.0059387	1.024548	0.988632	1.02541	1.01156	1.054192	0.968738	1.00794	1.037984	1.047909	0.988885	1.012997	1.017252	0.991068	1.063131	1.060208	1.027733	1.04844	1.090089	1.033633	1.017323	1.011184	1.049487	1.014409	1.019044	1.034682	1.022881	1.016457
0.35		1.046628	0.9910091	1.031792	0.9964173	0.971307	1.031255	1.00368	1.0049751	1.0083935	1.0039444	0.976631	0.987204	1.0029368	1.00087968	1.053285	1.00061964	0.9942258	1.026151	0.9941056	1.021831	1.026648	1.014417	0.982308	0.983436	1.017421	1.019482	1.019645	1.02656	1.063194
0.36		1.03155	1.017882	0.9929375	0.961841	1.017236	1.027833	1.042189	0.982397	0.978955	1.066478	1.030237	1.022901	0.967801	1.011963	1.036297	1.022557	1.043028	1.0087402	0.973509	1.030629	1.021527	1.0051692	0.98749	1.025149	0.989516	0.988058	1.066049	1.051994	1.023018
0.37		1.035834	1.028381	1.013494	0.981184	1.045934	1.0086775	0.982643	1.052227	1.012681	1.0077828	0.971392	1.0092512	1.029549	1.02318	1.015766	1.049218	1.024108	1.061869	1.029007	1.020215	1.045225	1.0048864	1.016658	0.9984887	1.005217	1.03224	1.015283	1.0038402	0.986883
0.38		1.048699	1.01497	1.016736	1.032033	1.033052	1.069344	1.0080829	1.069135	1.042952	1.037368	1.058337	1.033992	1.00074404	1.046585	1.050672	1.0035423	1.054611	0.987964	1.013884	1.059842	1.040109	1.03614	1.0029858	1.03348	1.051774	1.0040256	1.033133	0.988279	1.044492
0.39		1.017647	1.01245	1.023842	1.030795	1.028347	1.091108	1.017606	1.00050151	1.020604	1.025545	1.0094407	0.977078	1.013249	1.023202	0.975008	1.00078569	1.022137	1.031265	1.01901	1.0018274	1.026666	1.017408	0.955504	1.041201	1.030345	0.9913569	1.019552	1.0039804	1.027019
