Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15
0.91	1.021057	1.035579	0.969768	0.997108	1.053037	0.9989975	1.02072	1.0048612	1.083596	1.042325	1.011832	1.025077	1.021063	1.01803	1.012952
0.92	1.0028732	1.012732	1.024649	1.011182	1.055371	1.0078683	1.041898	1.0089425	1.022273	1.05799	1.008653	1.014254	1.053602	0.989808	0.968376
0.93	1.013759	1.037023	1.015086	0.9949534	1.026462	1.066577	0.9927447	0.9907004	1.015119	1.023844	0.992376	1.083847	1.064339	1.0027263	1.026042
0.94	0.9949798	1.0123	0.9964302	1.0083015	0.986883	0.9932807	1.056868	1.013093	0.9944458	0.989618	1.03476	1.0048008	1.054233	0.961451	1.052952
0.95	1.015984	1.04643	1.0098823	1.0024243	1.023036	1.0067895	1.12906	1.024183	1.028858	1.01949	1.02943	0.9901586	1.08651	1.075811	1.084604
0.96	1.02498	1.00095499	1.0065366	1.0054885	0.98617	1.032288	1.04229	1.076572	1.022927	0.97092	0.960326	1.15669	1.068992	0.9953319	0.987599
0.97	1.013295	0.988176	1.030743	1.0037067	1.05174	1.05653	1.059863	0.9938193	0.9975909	0.9948712	1.027354	1.24294	1.061233	1.090721	1.018304
0.98	0.9958107	1.02738	1.0090312	0.99971587	0.976223	1.070933	1.00097513	1.014007	1.0074299	1.014447	1.031286	1.14563	1.048218	1.04632	1.0070365
0.99	1.021797	1.032211	0.9956417	1.0086411	1.027165	1.057406	1.05206	1.068212	0.988511	1.037475	1.041453	1.12912	1.022935	1.026936	1.024388
1	1.016139	1.013066	0.992252	0.9987736	1.034882	1.052574	1.013737	0.9949282	1.042051	1.021507	1.047976	1.071101	1.082322	0.949156	0.99914123
1.01	0.980329	1.0059794	0.9959251	0.986759	1.03232	0.980879	1.02062	1.0054025	1.018003	0.985581	0.9919296	1.076544	1.063253	1.038704	0.971197
