Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10
0.92	1.20335	0.9905669	1.15397	0.955111	1.057974	1.34888	1.11417	1.035657	1.036362	1.43786
0.93	1.26279	0.9939215	1.25219	0.953214	1.07068	1.30763	1.074275	0.99935319	1.018478	1.34082
0.94	1.19797	0.9922855	1.20042	0.967151	1.051193	1.24007	1.078731	1.045974	1.03078	1.24258
0.95	1.2125	0.9926239	1.15569	0.99988014	1.029971	1.26005	1.13323	1.029818	0.9909863	1.3117
0.96	1.1644	0.9950927	1.11187	0.986747	1.033978	1.20496	1.072431	0.969658	0.982576	1.42563
0.97	1.12588	1.0024543	1.052897	0.9978476	1.025888	1.13031	1.10031	1.035617	0.976406	1.35586
0.98	1.11209	0.9949163	1.054005	0.95791	1.012041	1.084415	1.073917	0.966187	1.011036	1.25922
0.99	1.094348	1.00020287	1.13039	0.980212	1.002085	1.070206	1.084608	1.010972	0.972312	1.1578
1	1.094822	0.9977728	1.085649	0.969806	1.037864	1.061016	1.026449	1.029532	0.950511	1.13876
1.01	1.061725	0.9903286	1.091121	0.987082	1.011201	1.056915	1.056439	1.0014072	0.962098	1.12904
1.02	1.068857	0.9978692	1.1008	1.010369	1.046261	1.00071853	1.0056151	1.0060079	1.015646	1.081197
1.03	1.03787	0.9946079	1.025345	0.974678	1.032771	1.039906	1.016532	0.962452	1.048967	1.035859
1.04	1.08025	1.002041	1.026049	0.988791	1.012163	0.999914458	1.014311	0.976852	1.092597	1.0051975
1.05	1.053526	0.9941745	0.9941889	1.03455	0.970809	1.02496	1.040264	1.015604	1.061606	1.062183
1.06	1.037888	1.0031351	0.9980265	0.970732	0.989487	1.038799	0.9946187	0.964985	1.0065539	1.00011422
1.07	1.036727	0.991767	0.9914908	0.97755	1.012785	1.05527	0.985803	0.979972	1.019384	1.043633
1.08	1.028206	0.9952551	0.980162	0.977222	1.0083631	0.969188	1.040492	0.981603	1.069054	1.027951
1.09	1.0093574	0.99945689	1.022045	1.013317	1.0020619	1.01468	0.9911375	1.11383	0.987449	1.036056
1.1	1.0097043	0.9905439	1.016156	1.037343	1.017245	1.0097657	0.9976478	1.096803	0.9965943	1.026835
1.11	1.013627	0.9986785	1.02711	1.038004	0.968721	1.037267	0.978341	1.10783	0.989089	1.011339
1.12	1.020821	1.00085962	0.973784	1.028494	1.0038532	1.02703	0.9939579	1.007784	1.013564	1.038317
1.13	1.021882	0.9953773	1.026165	1.0019733	1.019897	1.047735	0.99952478	1.023285	1.0039136	0.9973322
1.14	1.016013	1.0027122	1.092352	0.986443	1.012152	0.983779	0.9983234	0.987188	1.047126	1.021238
1.15	1.0097113	0.9985811	1.19111	1.016974	0.979517	1.063025	0.9911527	1.053418	1.030608	1.050777
1.16	1.020294	0.9966537	1.12017	0.983683	1.034944	1.0055373	1.033213	0.995261	1.015958	1.038155
1.17	0.97207	0.9950128	1.13779	0.9942653	0.9925174	0.9926997	1.017451	1.020935	1.0083587	1.017362
1.18	1.012103	0.9953163	1.040368	0.954945	1.017834	1.0043115	1.026812	1.030591	0.985324	0.971879
1.19	1.043149	0.9934538	1.096169	1.011098	0.9915337	0.9955122	1.019625	0.9984281	1.006325	1.019889
1.2	1.020752	0.99909156	1.055966	0.980984	1.013715	1.020179	1.0071159	1.025744	0.9931586	1.012044
1.21	1.10447	0.9909529	1.1946	0.977715	1.03084	1.067654	1.073087	0.980292	0.984569	1.21862
1.22	1.14842	0.984938	1.28461	0.989032	1.053286	1.17828	1.097985	1.015455	1.0096841	1.26632
1.23	1.13164	0.9949798	1.24377	0.95841	1.040632	1.092906	1.060147	1.016643	1.0060309	1.15026
1.24	1.138	0.9905866	1.17635	0.983897	1.055327	1.11345	1.080417	1.014071	1.0090915	1.094362
1.25	1.098074	0.9940153	1.1056	1.00087812	1.094891	1.11158	1.056187	1.036323	1.030644	1.12211
1.26	1.12688	0.9964185	1.13173	0.9988685	1.083896	1.1043	1.014748	0.9856	1.040039	1.050767
1.27	1.062591	0.9926541	1.077189	0.98463	1.071589	1.070832	1.025231	1.013397	0.962225	1.11136
1.28	1.066769	0.9916127	1.098244	0.973528	1.054284	1.042727	1.01084	0.97098	0.9901329	1.032284
1.29	1.040943	1.0027003	1.025827	0.953998	1.040629	1.052622	1.04375	1.033747	1.018967	0.9985943
1.3	1.048234	0.9987052	1.027499	0.968475	1.054162	1.0039465	0.979972	1.033572	0.983605	1.088454
1.31	1.026347	0.987731	1.029531	1.0072399	1.043099	1.018822	1.046369	1.058474	1.071787	1.074949
1.32	1.025359	1.0025019	1.022161	0.988254	1.034886	1.051328	1.01864	1.0085881	1.0145	1.05407
1.33	1.028295	1.00063814	1.025602	0.976158	1.027549	1.039113	1.0040603	1.013626	1.033855	1.029231
1.34	1.012076	0.99960173	1.00025713	0.9973153	1.036779	1.066709	1.031956	1.027886	0.986897	1.055028
1.35	1.005471	1.0024909	1.024425	0.986501	1.01358	1.025019	1.041454	1.012578	0.986306	1.0091506
1.36	1.044327	1.000016373	0.998996	1.024436	0.9984703	1.039037	1.046745	0.9978244	1.0082201	1.020455
1.37	1.016049	1.0053929	0.987754	1.011032	1.0047932	1.037699	0.985585	1.022936	1.0028876	1.026781
1.38	0.983303	0.9973719	1.0046313	0.9951103	1.003675	1.0052543	1.023974	0.981566	0.97948	1.0090143
1.39	1.0042714	0.9965165	1.00862	1.016549	1.03137	1.022091	1.037084	0.963592	0.973535	1.075197
1.4	1.017444	1.0012681	1.0046996	0.952066	1.022999	1.026962	1.013991	1.039367	1.063244	1.085193
1.41	1.0074793	1.0045346	1.0082876	0.975523	1.022969	0.9912099	1.030265	0.974888	1.00069895	1.0046702
1.42	1.030382	0.9975344	1.019124	0.973468	1.025905	1.025937	0.9913142	0.9925103	0.9964006	0.974102
1.43	0.9971657	1.0035063	0.970533	0.987567	1.016417	0.99974826	0.9986139	1.014261	1.011438	1.056
1.44	1.020922	1.0038692	1.014382	0.981892	1.020731	1.043986	1.024989	0.986501	0.99758	1.020469
1.45	1.016261	1.002881	1.045053	1.0059217	1.00071467	1.074843	1.017038	0.9986184	1.050625	1.030484
1.46	1.016105	0.9958833	1.056294	0.979268	1.048588	0.9929836	1.052053	0.971861	0.9972987	1.022513
1.47	1.016411	0.993493	0.982448	1.022864	0.9921564	1.0159	1.015345	1.0094957	1.040342	1.027113
1.48	1.013114	0.9968231	0.9904393	1.011431	1.0071984	1.049869	1.010833	1.0028438	1.020196	1.040719
1.49	1.020589	0.984233	0.9905502	0.9937487	1.0061325	1.027501	1.0055228	1.033102	0.975752	1.024072
1.5	1.029863	0.9989226	1.03049	1.00013899	1.02779	1.0095208	1.036265	0.9929199	1.033105	1.0021135
1.51	1.007374	0.9977634	0.987614	0.9926438	0.974196	1.020946	1.021158	0.9806	1.035785	1.045357
1.52	0.989822	1.0037036	1.0011529	0.937819	0.9951683	0.988791	1.033952	0.985086	0.9978205	1.040075
1.53	0.967526	0.9947091	1.021892	0.986504	1.011894	1.017963	0.98457	0.98526	1.021315	1.056391
1.54	1.00029848	0.9971853	1.018137	0.984848	0.9925684	1.013814	1.02764	0.940135	1.016862	0.975216
1.55	1.01039	0.9965886	0.989528	0.950524	1.012823	0.989744	1.023553	1.025445	1.003278	1.043416
1.56	1.04436	0.9926996	1.021522	1.024809	1.028044	1.038364	1.031099	1.001064	0.964879	1.035781
1.57	1.031204	0.9988605	1.008894	0.960474	1.031637	0.9977048	1.047936	1.0010521	0.97516	1.026993
1.58	1.014626	0.9916217	1.018764	0.976311	1.048888	1.0041119	1.0577	0.9947828	0.979266	1.00032151
1.59	1.0069663	0.9944275	0.98814	0.9970469	1.021168	1.032918	1.032256	1.030549	0.9916193	0.9949188
1.6	1.014181	0.994898	1.0076473	0.9903291	1.039165	0.9910801	0.9948902	1.014478	0.96628	1.062012
1.61	1.0028473	0.9974724	0.982841	1.017949	1.01041	1.034025	1.018982	0.989135	1.0096223	1.013742
1.62	1.0227	0.9991814	1.038095	0.967243	1.036809	1.070241	1.016142	0.9976625	0.989209	1.036049
1.63	1.0022567	0.9938936	1.007315	0.978371	1.024611	1.027571	1.032873	0.987155	1.0094383	1.024188
1.64	1.012024	0.9940341	1.049311	0.9970263	1.0075006	0.9983986	1.070359	1.032552	1.012741	1.021596
1.65	1.034974	0.9908888	1.023484	0.982974	1.0025781	0.9924339	1.029783	0.980962	1.027372	1.024105
1.66	1.006773	0.9985589	0.9943867	0.9911686	1.040893	1.031769	0.9976511	0.979087	1.029184	1.020433
1.67	1.013828	1.0023868	0.965285	0.98183	0.9950741	1.0023957	1.024655	1.0083345	0.974411	0.98607
1.68	1.0065057	0.99920294	1.0060861	0.9977557	0.989216	0.97766	0.984552	0.99975102	1.018105	1.0025645
1.69	1.025855	0.9957807	1.043821	1.03266	1.013072	0.989361	1.022565	1.023148	1.038251	1.013445
1.7	0.9947646	0.9967819	1.0094976	1.000019621	0.9927344	0.96563	0.943722	1.0040129	1.061072	1.026435
1.71	1.02695	0.9975786	1.0085352	0.9928428	1.0050594	1.0097361	1.0092783	1.016978	1.016852	1.042146
1.72	1.0080028	1.0013578	1.014953	1.0161	1.026086	0.9930884	1.029088	1.028429	1.013401	1.033848
1.73	1.030503	1.0038648	1.037558	0.963489	1.0082024	1.0053405	1.02557	1.027494	0.9984153	1.016131
1.74	1.033039	0.9906767	1.039432	0.984711	1.01962	0.949926	1.039333	1.021608	0.983573	1.023052
1.75	1.0031522	0.9978332	1.0033878	0.987141	1.039264	0.964161	1.023743	0.9961701	1.042639	1.04099
1.76	0.9966276	0.9989827	1.011351	0.976554	1.0083017	1.030372	1.057535	1.025233	1.011392	1.026486
1.77	1.02562	0.99959676	1.015272	1.012346	1.020098	1.03311	0.980695	1.046381	0.9949017	1.059784
1.78	1.013074	0.998085	0.9924488	1.0063924	1.061252	0.9958006	1.010629	1.025982	1.015156	1.0031906
1.79	1.0056491	1.0018095	0.998869	1.0055124	1.054022	1.023794	1.014998	1.031617	1.016929	1.045329
1.8	1.017664	1.0036594	1.0025298	1.039979	1.00036778	0.9924953	1.040771	0.976409	0.974991	0.986326
1.81	1.022034	1.0010403	1.039475	1.0087079	1.01067	0.986889	1.010685	0.9977446	1.028484	1.03137
1.82	0.9982481	0.9945911	1.032423	1.0091221	0.978968	1.012046	1.024382	1.00068104	0.984656	1.0064224
1.83	0.979965	1.0046358	1.051566	1.0092968	0.9909741	0.9958109	0.975825	1.0058686	1.043865	0.9903106
1.84	1.013246	0.994473	1.049016	1.0077262	1.010707	1.02061	1.038011	0.979733	0.972702	0.997933
1.85	0.9956414	1.001787	1.0098558	1.0054557	1.020549	1.0096108	0.993792	1.021207	1.0246	0.969206
1.86	1.01222	0.996885	1.026512	0.9966821	1.017177	1.035836	1.03995	0.974632	1.039628	1.022256
1.87	1.02291	0.9959737	0.984787	1.014552	1.0025898	1.051348	1.037859	1.035732	0.9947296	0.982559
1.88	1.0084818	0.9934765	1.016757	0.985174	1.019423	1.023367	1.0012494	1.020103	1.039049	1.01693
1.89	1.0065984	0.9970743	0.9980306	1.021614	1.0043593	0.9948679	1.012889	0.982634	1.005342	0.9980555
1.9	1.0037568	0.9940802	1.032892	1.012443	1.021681	1.04713	0.9981806	0.964921	1.03247	0.9900439
1.91	1.0038796	1.0023667	1.013011	1.0060221	1.0021267	1.026197	1.019122	1.035492	1.00079763	1.030189
1.92	1.023803	0.989725	0.984849	1.030224	1.0094714	1.080534	1.023031	1.016534	0.9939218	1.0030259
1.93	1.010017	1.0043675	1.00073043	1.0049355	0.987985	1.017418	0.9973008	1.0055463	0.9905911	1.010336
1.94	0.99953732	0.987018	1.00042993	0.992044	1.014219	1.019187	1.021258	1.00818	1.020975	1.040749
1.95	1.0059238	1.0024268	1.0062413	0.9985823	0.986228	1.013412	1.030009	1.014913	0.987885	0.983417
1.96	1.0080262	1.0054999	0.980412	0.980935	1.012173	0.960825	1.018443	1.013608	1.032963	1.04273
1.97	1.0081414	0.9925957	1.018225	0.988553	1.018595	1.011891	0.996392	0.981492	1.0036313	0.985066
1.98	1.0043853	0.99269	1.066122	1.020895	0.979083	0.985132	1.0069699	1.01801	1.0026708	1.0347
1.99	0.97838	1.004109	0.970413	0.9926264	0.981142	1.010383	0.9971896	1.032493	1.0091354	0.978018
2	0.9983102	1.00098222	0.99098	1.0097126	1.028488	1.012939	0.983753	1.0095941	1.043189	1.02431
2.01	0.9902703	0.9962108	1.031283	1.02271	1.022499	1.038077	0.99958052	1.047756	1.036396	1.044887
2.02	1.001586	0.9979068	1.050299	1.013489	1.038512	1.0071504	1.01428	1.012679	1.0044205	1.016719
2.03	0.9973832	0.9964973	1.019218	0.988998	1.0070361	1.057574	1.067701	0.98326	1.050995	1.026119
