Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9	ROI10	ROI11	ROI12	ROI13	ROI14	ROI15	ROI16
0.48	1.0074494	0.978396	0.987038	1.059736	1.055374	1.055134	0.9944529	1.0033182	1.0063048	0.988439	0.984235	1.10226	1.048686	1.098603	1.013717	1.046837
0.49	1.0086368	0.983857	1.037449	1.0059018	1.00012275	1.0078753	1.075814	1.0058749	1.025387	1.027143	1.040154	1.008758	1.010459	1.0046802	1.047637	1.054454
0.5	1.016223	1.013824	1.010889	1.030461	1.018241	1.041628	1.041908	1.0077063	0.988812	1.018978	0.9953499	1.048587	0.947211	0.987427	1.04099	1.051876
0.51	0.9971852	0.982759	0.973566	1.050367	1.068065	1.022596	1.028639	1.01935	1.026422	1.014759	1.089664	0.99919549	1.01778	1.019089	0.9948274	1.040095
0.52	1.016184	1.031043	1.045755	0.979633	1.022516	1.026448	0.976584	0.9910778	1.0029666	0.965393	1.052719	0.988644	1.01884	1.0099013	1.07625	1.059161
0.53	1.0067355	0.980831	1.0063822	0.9982476	1.005309	1.043092	1.054945	0.988677	1.020072	0.989116	1.046785	0.93485	1.016168	1.073306	0.9916061	1.0042656
0.54	1.031039	0.954312	0.9873	0.971591	1.021919	0.983143	1.060218	1.072533	0.9982761	0.986984	1.016063	1.023324	1.022477	0.9903767	1.0010296	0.949845
0.55	1.022028	0.9918107	1.042139	0.964614	0.9953757	0.986	0.9927965	1.0092366	1.024183	1.039123	1.063315	0.978423	1.053841	1.032924	1.084825	0.969838
0.56	1.044314	1.013791	1.04061	0.982749	1.043903	1.029793	1.024439	1.03967	1.052286	1.053383	1.043695	0.979646	1.02231	1.042343	0.9931351	1.030585
0.57	1.0122	0.963356	1.035246	0.99924652	1.0021584	1.009264	1.077858	1.044309	1.0085169	0.970716	0.923335	0.995224	1.022238	1.019211	1.029903	0.971593
0.58	0.9961507	1.023581	1.022816	1.016847	1.0067312	1.024348	1.09456	0.9942385	1.021353	1.036786	1.041192	0.980883	1.026154	1.047344	1.0051347	1.017591
0.59	1.049412	1.012395	0.967078	0.955809	1.029149	1.0089394	1.026539	1.013845	1.0058394	0.979841	0.962467	0.9933032	1.025986	0.984097	1.02217	0.946795
0.6	0.9944452	1.063965	1.007709	1.026769	0.987956	1.030801	1.0026586	0.962264	1.0066339	1.04511	1.029583	1.028186	1.0068198	0.981707	0.9978061	0.988571
0.61	1.01212	1.076367	1.036722	1.048955	0.987141	1.0052749	1.065392	1.082398	1.01956	1.054581	0.9921195	0.976569	1.017664	1.015489	1.0030064	0.987527
0.62	1.02543	1.053067	1.046089	1.065902	1.029029	1.014846	1.003258	1.016736	1.01261	1.003015	1.11681	0.967837	1.032069	1.028507	1.0090346	1.059533
0.63	0.9973082	1.054614	1.017949	0.9972071	1.067684	1.02249	1.077209	0.967121	1.031313	1.041024	1.013893	1.026012	1.035157	1.02422	1.0095841	0.9907118
0.64	1.0081712	1.021363	1.034254	1.017174	1.033827	1.050259	1.088366	1.008288	1.036779	0.995123	1.033365	0.986921	1.05338	1.061829	1.050278	0.967217
0.65	1.0060032	1.024117	0.989991	0.986523	1.035747	1.062524	1.037085	1.011232	1.012264	1.0022816	1.077848	1.0079577	1.0063921	0.963393	1.02384	1.074582
0.66	1.0092909	1.09361	1.027513	1.035565	0.964426	1.017788	1.039124	1.059911	1.027274	1.014987	1.033749	1.026749	1.047338	1.023101	1.039864	1.092301
0.67	0.9942233	1.068165	1.012925	0.9972097	1.039622	1.024115	1.068857	1.024231	1.012056	1.013543	1.060431	1.059558	0.9930406	1.018767	1.0085471	1.065257
0.68	0.989763	1.047762	1.031911	0.9941244	1.042304	1.053285	1.025961	1.034477	1.0027324	0.9983203	0.988319	1.034994	1.022722	1.071527	1.011422	1.040388
0.69	0.973398	1.047126	0.961854	0.9979723	1.02477	1.045567	1.009117	0.971495	1.027222	0.9769	1.038296	1.073279	1.028472	0.989695	1.008459	1.058858
0.7	1.010486	1.024269	1.065331	0.999986919	1.043461	1.018497	1.025602	1.016517	0.962377	1.062994	0.968124	1.028028	0.96286	0.9902988	0.987545	1.038723
0.71	0.986453	1.03519	1.047468	0.961454	1.036754	1.01856	0.979564	0.99951777	1.018859	0.9989114	0.986964	1.00098077	1.010302	1.063518	0.970778	1.068509
0.72	1.019556	1.014043	1.0034944	1.013126	1.015346	1.021254	0.9986624	1.00071498	1.056139	0.922002	1.093442	1.089708	1.0072254	1.018715	1.029128	0.977042
