Time	ROI1	ROI2	ROI3	ROI4	ROI5	ROI6	ROI7	ROI8	ROI9			
2.04	1.095364	1.076879	1.13348	1.030836	1.015536	1.2169	1.040075	1.0068703	0.9967708			
2.05	1.089049	1.089197	1.081493	1.012203	1.019714	1.1614	1.015867	0.945548	1.031642			
2.06	1.1138	1.047003	1.026137	1.012136	1.0093771	1.16246	1.091977	1.014723	1.011332			
2.07	1.070176	1.06255	1.031349	0.9973614	1.0084548	1.056369	1.0063939	0.9934437	0.959075			
2.08	1.083153	1.041618	1.037052	0.979161	0.961248	1.072939	1.029312	0.973151	0.953756			
2.09	1.10473	1.052567	1.079062	0.982021	0.957876	1.14016	0.95595	0.972971	0.922136			
2.1	1.10712	1.069416	1.070928	0.984001	1.043122	1.089577	1.003162	1.21606	1.019848			
2.11	1.088776	1.030141	1.057103	0.96333	1.058037	1.095576	0.977121	1.1664	0.979148			
2.12	1.068242	1.040486	1.01512	0.926063	0.967978	1.031626	0.97214	1.14764	0.967129			
2.13	1.052299	1.0020402	1.0071437	1.10226	1.031067	1.067134	0.9942128	1.14272	0.904007			
2.14	1.017122	1.040756	0.9913901	1.086122	0.976654	1.017587	1.0054891	1.060782	1.0055909			
2.15	1.0084185	1.03706	1.00063578	1.014594	1.10399	0.985207	0.99934029	0.9903357	1.0020503			
2.16	1.05298	1.041336	0.9904802	1.023246	1.10549	1.030732	0.978903	1.084364	1.049125			
2.17	1.0039352	1.039927	0.9937104	1.021392	1.10753	1.074711	0.978999	1.10694	1.07687			
2.18	1.00019063	1.0057594	1.025264	1.021757	1.071673	1.12374	1.0077737	1.12367	1.013472			
2.19	1.023269	1.020788	1.075734	0.974446	1.096074	0.922965	1.007225	0.9905439	0.9904777			
2.2	1.027549	1.021081	1.086163	0.961007	1.039607	0.95806	1.071183	1.028876	0.975949			
2.21	1.057757	1.041265	1.039664	0.912071	1.07178	0.976021	1.071807	1.078549	0.937713			
2.22	1.060056	1.016138	1.027404	0.950521	1.043052	0.963857	1.088939	1.01095	0.966809			
2.23	1.044754	1.021235	1.0089761	0.9949865	1.056037	1.027467	1.010829	0.9960469	0.959183			
2.24	1.0076808	1.023639	1.041723	1.094881	1.074873	1.072714	0.975092	0.989542	0.97885			
2.25	1.021801	1.012536	1.066051	1.042759	1.056999	1.019998	1.044954	0.987303	0.961304			
2.26	1.014583	1.0012704	1.014675	1.012065	1.043068	1.0023541	1.044059	0.99975074	0.95784			
2.27	0.97553	1.0058085	1.057455	1.006521	1.0012868	1.032924	1.019434	1.0027937	0.964934			
2.28	0.986964	0.9920203	1.011892	0.993392	1.0327	1.056644	0.9952067	1.077913	0.958523			
2.29	0.976373	0.986814	1.058379	0.9969872	0.9900206	1.089733	0.9975184	1.058816	0.92845			
2.3	0.9926054	0.974184	0.9903897	1.089784	0.957746	1.019173	0.970267	1.0032832	0.984158			
2.31	0.986401	1.0070294	1.0097784	1.076623	1.010631	1.084817	0.957162	0.972899	0.947152			
2.32	0.983028	0.978122	1.053194	1.0027565	0.982435	1.020405	1.021962	0.935949	0.919812			
2.33	0.9954147	0.9911628	1.046221	1.022846	1.010453	1.0024266	1.045969	0.980947	0.934523			
2.34	0.991788	1.00032046	0.988071	0.977903	1.01656	1.049775	0.951034	1.019371	0.963705			
2.35	0.9912659	0.975759	0.9904555	0.983793	1.032218	0.969947	1.04135	1.034257	1.11958			
2.36	1.011632	1.015269	1.033065	1.026865	1.064348	0.988974	0.949336	1.060794	1.075125			
2.37	1.062336	1.028479	1.060924	0.966024	1.02442	0.949139	1.04809	1.022862	1.16141			
2.38	1.058925	1.0084828	1.0067571	0.957168	1.0082074	1.051398	1.075207	0.9920005	1.13567			
2.39	1.017585	1.018166	1.032763	0.983617	0.960295	1.026724	1.048184	0.976201	1.018635			
2.4	1.0043577	1.025449	1.012519	0.943155	1.00061112	1.0014386	1.002518	0.944514	1.039688			
2.41	1.0131	0.9963402	1.022087	0.988271	0.9954425	0.969502	0.932694	1.037681	1.070222			
2.42	1.025506	0.9965476	1.046973	0.930848	0.986981	1.05014	0.949496	0.986431	0.986396			
2.43	1.055455	1.052675	1.012995	1.1105	0.9979541	0.978407	1.067154	0.99963622	1.094672			
2.44	1.069988	1.0021809	1.0063031	1.075795	0.97997	1.033344	1.062306	1.0067443	1.10951			
2.45	1.05064	1.0024494	0.99982631	1.047576	1.046135	1.074645	1.064059	1.018982	1.069567			
2.46	1.032675	1.00082852	1.018505	1.059248	1.023763	1.064858	1.078415	1.014385	0.99955683			
2.47	1.030602	1.0079385	0.98867	1.00000524	1.023203	1.0010631	1.12808	0.976395	1.030814			
2.48	1.024114	1.0055614	1.0052786	0.9903743	0.9955427	1.075451	1.094245	1.013496	1.035808			
2.49	0.9911649	1.038579	0.98197	0.9953111	1.065912	0.985837	1.079194	0.937529	1.041403			
2.5	1.041864	0.98891	1.045003	0.989105	1.024855	1.104	1.0019545	0.983692	0.99964385			
2.51	1.013011	1.0086312	1.2753	0.965263	0.967871	1.037723	1.02806	0.984552	0.975394			
2.52	0.973256	1.013337	1.7515	0.987443	0.9907631	0.948863	1.048676	1.050907	0.978983			
2.53	1.0095483	1.0329	1.94787	1.01034	1.030528	0.957508	1.018247	0.9937165	0.963965			
2.54	1.029653	1.02918	1.98372	0.956305	1.023429	1.053901	0.9951631	0.9923081	0.983327			
2.55	1.0066289	1.02889	2.0148	1.0033828	0.9986164	1.045818	1.041738	1.025011	0.97516			
2.56	1.08211	1.044899	2.0044	1.0033347	0.996519	1.0015974	1.054995	1.087633	1.011476			
2.57	1.055075	0.9941326	1.82911	1.077223	1.0018284	1.036103	1.17855	1.015758	0.981291			
2.58	1.03503	1.013816	1.78189	1.099886	1.026213	1.00094512	1.16618	1.012148	0.922944			
2.59	1.05885	1.02103	1.64972	1.10791	1.043327	0.9939231	1.14351	0.98847	1.041152			
2.6	1.011419	0.9967165	1.51056	1.048312	1.020386	0.968394	1.14482	1.010268	1.017521			
2.61	1.0073789	1.036616	1.41342	1.35564	1.056225	1.033712	1.087873	0.9927043	1.037687			
2.62	1.033815	1.012578	1.3556	1.35298	1.0024555	1.04766	1.11768	1.049163	0.99924392			
2.63	1.062513	1.00482	1.23128	1.29006	0.986176	0.965072	1.076188	1.044437	1.0099153			
2.64	1.066201	1.021186	1.2903	1.23078	0.957604	0.967597	1.1091	1.0013719	0.961664			
2.65	1.03896	0.99916706	1.24303	1.2483	1.0022075	1.033583	1.037138	0.93032	1.014438			
2.66	1.064515	1.012301	1.21424	1.25634	0.9907978	1.028612	1.041538	0.9932479	0.9279			
2.67	1.055746	1.00047997	1.19289	1.28077	0.978608	0.964124	1.022717	0.978763	0.921329			
2.68	1.089849	1.0074457	1.23797	1.16765	1.0025851	0.950938	1.014833	0.9931501	0.9937283			
2.69	1.09064	1.038095	1.19855	1.15178	1.028622	0.963979	1.073104	0.9977228	0.959447			
2.7	1.099794	1.072866	1.1813	1.16987	0.972271	1.088004	1.021219	1.0062165	1.0070034			
2.71	1.11795	1.037832	1.21798	1.21044	1.056926	1.025966	0.929427	0.9948847	0.968504			
2.72	1.14776	1.056739	1.19438	1.21183	1.034044	1.059435	1.073519	1.034071	0.963346			
2.73	1.15066	1.039044	1.16657	1.18151	1.021788	1.048253	0.955103	1.025582	1.06632			
2.74	1.083061	1.029742	1.15175	1.1163	0.989997	0.971472	1.042167	1.030431	1.078624			
2.75	1.092387	1.015716	1.10778	1.078768	1.015549	1.0029093	1.024969	0.9623	0.998268			
2.76	1.10322	1.032158	1.16777	1.074582	1.033343	1.025361	1.049198	1.0045208	1.014839			
2.77	1.062054	1.019068	1.17778	1.069844	1.062812	1.045764	1.029252	1.0021166	1.081476			
2.78	1.11684	1.013555	1.17978	1.060791	0.991784	1.034759	1.070092	1.0010376	1.036942			
2.79	1.10109	1.012436	1.15079	1.037706	1.019185	1.17674	1.023574	1.0086191	1.056382			
2.8	1.086476	1.013307	1.15034	1.020439	1.0023569	1.24726	1.019152	1.013545	1.098325			
2.81	1.077468	1.03541	1.091222	1.00085566	0.9868	1.21728	0.960127	0.954591	1.12178			
2.82	1.088736	1.012159	1.0062038	1.050789	0.966148	1.13954	1.0035434	0.977149	1.14944			
2.83	1.10434	1.0385	1.06289	0.985102	1.04136	1.16659	0.978664	1.017178	1.086799			
2.84	1.071764	1.025653	1.060589	1.021142	1.018238	1.048795	0.992377	1.02805	1.066795			
2.85	1.11681	1.024431	1.0747	0.9960005	1.0052517	1.053267	0.974716	1.034357	1.12032			
2.86	1.095091	0.9977276	1.095295	1.039792	0.980088	1.089916	1.020075	0.9939232	1.10258			
2.87	1.14982	1.0057575	1.017512	0.983964	1.017002	1.12942	1.031375	0.965249	1.1007			
2.88	1.12059	1.060312	1.039478	1.0081733	0.965586	1.10744	0.955973	1.011949	1.070535			
2.89	1.071426	1.032637	1.045006	0.975435	0.988424	1.065439	1.044813	0.971406	1.095452			
2.9	1.12832	1.041421	1.045954	0.946589	0.959399	1.10672	1.041467	1.027919	1.040312			
2.91	1.17889	1.018495	1.055552	0.953594	1.022602	1.14808	0.93707	0.99937987	1.063047			
2.92	1.196	1.014047	1.090589	1.0000511	1.045358	1.047107	1.045223	0.981405	1.0075173			
2.93	1.18275	1.009798	1.10885	0.970477	1.052583	1.076606	1.095099	0.971171	1.012707			
2.94	1.11983	1.036773	1.063465	1.10304	1.038446	1.018177	1.076874	0.972758	1.054769			
2.95	1.097056	1.016687	1.10782	1.11411	1.044913	1.063883	1.072253	0.976289	1.031148			
2.96	1.11313	1.036851	1.073134	1.11053	1.048176	1.29732	1.092877	1.038696	0.987872			
2.97	1.068094	1.031203	1.037966	1.041256	1.080534	1.2946	1.077462	1.011593	0.934939			
2.98	1.06682	1.067411	1.087894	1.091691	1.0093344	1.18034	1.080355	0.9958912	1.024711			
2.99	1.072054	1.029732	1.16142	1.0031684	1.028458	1.14415	0.9978587	1.042524	0.979361			
3	1.055055	1.046323	1.15121	1.020834	0.957616	1.18399	1.046553	1.02455	0.953511			
3.01	1.065742	1.061099	1.11839	1.0067911	1.050856	1.1196	1.02862	0.9903273	1.010293			
3.02	1.065381	1.074204	1.069088	0.987315	1.039964	1.10552	1.031013	0.9954972	0.961446			
3.03	1.087839	1.055122	1.059459	0.9983582	0.984493	1.084658	0.985293	0.933956	1.0070113			
3.04	1.086075	1.048346	1.072457	0.97194	0.980778	1.092483	1.016131	1.015615	0.924046			
3.05	1.086758	1.014465	1.02444	1.013076	0.965766	1.06906	1.065296	1.04362	0.972576			
3.06	1.066415	1.016011	1.029062	1.043168	1.016197	0.995446	0.99169	0.97675	0.984064			
3.07	1.018329	1.025847	0.9911618	1.04944	1.029421	1.12506	0.978694	1.068237	0.966125			
3.08	1.035082	1.03456	0.963274	1.0249	1.038273	1.11906	1.022154	0.969588	0.956854			
3.09	1.054034	1.047147	1.00144	1.056724	1.0073795	0.950897	1.22092	1.026056	0.9971267			
3.1	1.0244	1.070179	1.034501	1.046973	1.074873	1.030427	1.19787	1.010655	0.9949536			
3.11	0.988248	1.083579	1.041969	1.014867	0.9967581	0.970698	1.13768	1.036304	1.010667			
3.12	1.010067	1.085902	1.042525	1.021091	1.012724	1.086454	1.06628	1.02982	0.955325			
3.13	1.0039209	1.065498	1.018827	0.978156	1.0083173	1.0332	1.0045709	1.032355	1.012178			
3.14	0.990326	1.042252	1.046476	1.043122	1.039513	1.12061	1.10794	0.947996	0.962797			
3.15	0.982733	1.053623	1.051297	0.975486	1.029333	1.0016398	1.038682	1.012636	0.95957			
3.16	0.987004	1.057872	0.9925169	0.9932556	1.011399	1.041995	1.09538	1.029695	0.984848			
3.17	0.982426	1.030945	0.97804	1.01665	0.921793	1.049101	1.046118	0.9919168	1.15944			
3.18	0.984881	1.050266	1.012881	0.979028	1.052516	1.085917	1.014048	1.007261	1.12427			
3.19	1.018408	1.045121	1.029143	0.978491	0.997251	1.046411	0.961975	1.010538	1.10955			
3.2	0.9945209	1.017349	1.0052276	0.9978354	1.027773	1.057405	1.057819	1.052493	1.10263			
3.21	1.011894	1.037542	1.080706	1.041676	1.016624	1.0022191	1.024652	1.10673	1.13965			
3.22	1.018146	1.036876	1.051313	0.960677	1.03038	1.048384	0.9976521	1.011532	1.060666			
3.23	0.9922578	1.010962	0.987828	0.98394	1.042038	0.99925161	0.966216	1.018871	1.116			
3.24	0.982536	0.9999562	0.997597	1.089484	1.040152	1.0023958	1.027495	1.006539	1.07836			
3.25	0.981371	1.021354	1.031558	1.060108	0.987685	1.040286	1.016717	1.043751	1.097923			
