roi_id,peak_time,peak_absolute_amplitude,peak_relative_amplitude
ROI37,9455,1.33188,0.2878820366666668
ROI37,13429,1.86479,0.8207920366666668
ROI37,14104,1.14124,0.09724203666666686
ROI38,666,1.15981,0.1178991433333334
ROI38,2655,1.60085,0.5589391433333335
ROI38,4928,1.55658,0.5146691433333335
ROI38,5537,1.21002,0.1681091433333335
ROI38,6811,1.45204,0.4101291433333334
ROI38,7557,1.18342,0.1415091433333333
ROI38,9455,1.1972,0.15528914333333343
ROI38,11530,1.16329,0.12137914333333333
ROI38,12481,1.12431,0.08239914333333331
ROI38,13428,1.57216,0.5302491433333334
ROI38,14112,1.24716,0.20524914333333344
ROI38,15421,1.19533,0.1534191433333334
ROI39,2651,1.81217,0.7697700566666668
ROI39,4931,1.82599,0.7835900566666667
ROI39,6810,1.68938,0.6469800566666668
ROI39,7549,1.1988,0.1564000566666668
ROI39,9454,1.43835,0.3959500566666667
ROI39,13429,1.88385,0.8414500566666667
ROI39,14101,1.19225,0.14985005666666673
ROI40,4937,1.17905,0.16001035000000008
ROI40,6812,1.27768,0.2586403500000001
ROI40,9454,1.21928,0.20024035000000007
ROI40,13431,1.54568,0.5266403500000001
ROI40,14110,1.17905,0.16001035000000008
ROI41,2648,1.28145,0.25498490633333337
ROI41,4931,1.40681,0.3803449063333333
ROI41,6811,1.46157,0.43510490633333343
ROI41,7561,1.13932,0.1128549063333335
ROI41,9454,1.27453,0.24806490633333333
ROI41,13428,1.56773,0.5412649063333335
ROI41,14108,1.25588,0.2294149063333335
ROI42,2651,1.71287,0.66451949
ROI42,4928,1.54394,0.4955894900000002
ROI42,6809,1.41243,0.36407949000000017
ROI42,9454,1.346,0.2976494900000002
ROI42,13428,1.67533,0.6269794900000001
ROI43,2661,1.30524,0.26791664000000015
ROI43,4937,1.4184,0.3810766400000003
ROI43,6816,1.51586,0.4785366400000002
ROI43,9455,1.27537,0.2380466400000001
ROI43,9641,1.20036,0.1630366400000003
ROI43,13435,1.71724,0.6799166400000003
ROI43,14110,1.17059,0.1332666400000002
ROI44,2652,1.47545,0.43745334999999996
ROI44,4929,1.58505,0.5470533500000001
ROI44,6810,1.56127,0.52327335
ROI44,7557,1.2638,0.22580335000000007
ROI44,9454,1.19093,0.15293335000000008
ROI44,13429,1.81545,0.77745335
ROI44,14111,1.19866,0.1606633500000001
ROI45,6827,1.14446,0.13037846400000008
ROI45,7552,1.17793,0.16384846399999997
ROI45,9455,1.18115,0.16706846399999997
ROI45,13439,1.36684,0.3527584640000001
ROI46,2661,1.25761,0.2229282136666666
ROI46,4935,1.40732,0.3726382136666666
ROI46,6819,1.49876,0.4640782136666668
ROI46,7559,1.1585,0.12381821366666679
ROI46,9455,1.29679,0.2621082136666668
ROI46,13434,1.70505,0.6703682136666667
ROI46,14110,1.18063,0.14594821366666677
ROI46,15755,1.19225,0.15756821366666673
ROI47,2651,1.82171,0.7742440666666666
ROI47,4932,1.75466,0.7071940666666667
ROI47,6814,1.56807,0.5206040666666667
ROI47,9454,1.33613,0.28866406666666666
ROI47,13430,1.88872,0.8412540666666666
ROI48,9455,1.16866,0.1566885899999999
ROI48,13425,1.34228,0.3303085899999998
ROI48,14113,1.15093,0.13895858999999988
ROI48,16114,1.17014,0.15816858999999983
ROI49,2654,1.74827,0.7044695666666667
ROI49,4935,1.79833,0.7545295666666667
ROI49,6815,1.74602,0.7022195666666666
ROI49,7557,1.21313,0.16932956666666676
ROI49,9446,1.20184,0.15803956666666674
ROI49,13432,1.86657,0.8227695666666668
ROI49,14110,1.31226,0.2684595666666667
ROI50,4944,1.15934,0.14176618333333346
ROI50,6805,1.23087,0.21329618333333333
ROI50,9454,1.28249,0.26491618333333333
ROI50,13437,1.38253,0.36495618333333346
ROI50,14102,1.20392,0.18634618333333353
ROI50,15431,1.17962,0.16204618333333332
ROI51,9455,1.13394,0.127061262
ROI51,13432,1.35806,0.3511812620000001
ROI51,14108,1.21406,0.20718126199999998
ROI52,4936,1.17966,0.14997381666666643
ROI52,5531,1.191,0.16131381666666655
ROI52,5974,1.20645,0.17676381666666652
ROI52,6823,1.22007,0.19038381666666648
ROI52,7549,1.25531,0.22562381666666642
ROI52,8228,1.18318,0.1534938166666664
ROI52,9430,1.25911,0.22942381666666645
ROI52,10482,1.25162,0.22193381666666645
ROI52,11003,1.26385,0.2341638166666664
ROI52,11533,1.24621,0.21652381666666654
ROI52,12473,1.37098,0.3412938166666666
ROI52,13419,1.35605,0.3263638166666665
ROI52,14100,1.41279,0.3831038166666665
ROI52,14835,1.35926,0.3295738166666664
ROI53,2646,1.6213,0.5777583333333334
ROI53,4174,1.14904,0.10549833333333347
ROI53,4929,1.432,0.38845833333333335
ROI53,5538,1.14751,0.10396833333333344
ROI53,6809,1.30449,0.26094833333333334
ROI53,7553,1.14429,0.10074833333333344
ROI53,8230,1.16702,0.12347833333333336
ROI53,9433,1.31897,0.2754283333333334
ROI53,11003,1.17259,0.12904833333333343
ROI53,11528,1.16151,0.11796833333333345
ROI53,12472,1.22013,0.17658833333333335
ROI53,13425,1.50507,0.4615283333333333
ROI53,14113,1.18489,0.1413483333333334
ROI54,2651,1.86358,0.8148920533333335
ROI54,4933,1.73397,0.6852820533333335
ROI54,6815,1.61656,0.5678720533333335
ROI54,13430,1.66868,0.6199920533333334
ROI55,2650,1.51791,0.4833873080000002
ROI55,4175,1.17579,0.14126730799999998
ROI55,4933,1.5658,0.5312773080000002
ROI55,6813,1.57035,0.535827308
ROI55,7551,1.16629,0.13176730800000014
ROI55,9454,1.36881,0.33428730800000017
ROI55,9904,1.15021,0.11568730800000004
ROI55,11522,1.21428,0.17975730800000012
ROI55,13425,1.80369,0.7691673080000001
ROI55,14098,1.19541,0.16088730800000017
ROI55,15755,1.22072,0.18619730800000012
ROI56,4944,1.18355,0.1544203866666669
ROI56,6808,1.25381,0.2246803866666669
ROI56,9436,1.35022,0.3210903866666668
ROI56,13441,1.41287,0.3837403866666669
ROI56,14111,1.30363,0.2745003866666669
ROI56,16115,1.23598,0.20685038666666689
ROI57,2649,1.31933,0.2854084333333333
ROI57,4934,1.44146,0.4075384333333334
ROI57,6811,1.4862,0.4522784333333334
ROI57,9455,1.23405,0.20012843333333352
ROI57,13432,1.61218,0.5782584333333334
ROI57,14116,1.17053,0.1366084333333335
ROI58,2654,1.86304,0.8181495383333335
ROI58,4933,1.75551,0.7106195383333334
ROI58,6814,1.66173,0.6168395383333334
ROI58,13430,1.96881,0.9239195383333334
ROI59,2653,1.47821,0.43396483723333334
ROI59,4930,1.36894,0.32469483723333337
ROI59,5537,1.23774,0.19349483723333338
ROI59,6805,1.33597,0.2917248372333334
ROI59,7556,1.28338,0.23913483723333329
ROI59,9454,1.26437,0.22012483723333331
ROI59,13429,1.45774,0.41349483723333336
ROI59,14105,1.21998,0.17573483723333339
ROI59,14835,1.14071,0.09646483723333321
ROI60,2647,1.74516,0.6903685800000001
ROI60,3673,1.55973,0.5049385800000001
ROI60,4184,1.32,0.26520858000000014
ROI60,4928,1.85572,0.8009285800000001
ROI60,6810,1.64134,0.5865485800000001
ROI60,9446,1.20941,0.15461858000000017
ROI60,13425,1.71096,0.6561685800000001
ROI60,14102,1.36914,0.3143485800000001
ROI60,15432,1.27429,0.21949858
ROI61,2653,1.41605,0.3791422200000001
ROI61,4934,1.53334,0.49643222
ROI61,6809,1.56052,0.52361222
ROI61,9452,1.23225,0.19534222000000012
ROI61,13430,1.78736,0.7504522200000001
ROI61,16114,1.18805,0.1511422200000001
ROI62,2652,1.80762,0.7595989486666666
ROI62,4933,1.68297,0.6349489486666666
ROI62,6815,1.57698,0.5289589486666666
ROI62,13430,1.74859,0.7005689486666666
ROI63,2646,1.67183,0.6293702999999997
ROI63,3184,1.20154,0.15908029999999984
ROI63,4177,1.14343,0.10097029999999974
ROI63,4929,1.60883,0.5663702999999998
ROI63,5538,1.17476,0.13230029999999982
ROI63,6810,1.46817,0.42571029999999976
ROI63,7551,1.22179,0.17933029999999972
ROI63,8230,1.16875,0.12629029999999974
ROI63,9432,1.20573,0.16327029999999976
ROI63,9910,1.16626,0.12380029999999986
ROI63,11001,1.2174,0.17494029999999983
ROI63,11529,1.17949,0.13703029999999972
ROI63,12472,1.25954,0.2170802999999999
ROI63,13425,1.68484,0.6423802999999997
ROI63,14113,1.23347,0.19101029999999986
ROI64,666,1.1415,0.11598353666666661
ROI64,1051,1.22141,0.19589353666666676
ROI64,1480,1.16107,0.1355535366666667
ROI64,1818,1.17404,0.14852353666666662
ROI64,2639,1.29076,0.26524353666666656
ROI64,3193,1.1871,0.1615835366666667
ROI64,3671,1.16545,0.13993353666666675
ROI64,4178,1.18267,0.15715353666666676
ROI64,4924,1.2053,0.1797835366666667
ROI64,5535,1.18466,0.1591435366666667
ROI64,5970,1.18868,0.1631635366666666
ROI64,6820,1.35391,0.3283935366666666
ROI64,7553,1.23373,0.20821353666666664
ROI64,8880,1.22272,0.19720353666666668
ROI64,9431,1.18898,0.16346353666666658
ROI64,9916,1.13852,0.11300353666666663
ROI64,10140,1.16848,0.1429635366666666
ROI64,10477,1.14349,0.11797353666666655
ROI64,10999,1.18142,0.15590353666666656
ROI64,11527,1.1757,0.15018353666666662
ROI64,11919,1.20316,0.17764353666666666
ROI64,12472,1.1974,0.17188353666666667
ROI64,12691,1.13965,0.1141335366666667
ROI64,13419,1.34198,0.3164635366666666
ROI64,14097,1.18597,0.16045353666666662
ROI64,14341,1.21294,0.18742353666666656
ROI64,14839,1.23819,0.21267353666666655
ROI65,2652,1.73703,0.6912856200000002
ROI65,4933,1.63099,0.58524562
ROI65,6498,1.34471,0.29896562000000015
ROI65,6810,1.53571,0.48996562
ROI65,9445,1.22138,0.17563562
ROI65,13432,1.62641,0.58066562
ROI66,2648,1.44011,0.40926426400000016
ROI66,4931,1.51913,0.48828426400000025
ROI66,6816,1.48757,0.4567242640000002
ROI66,7553,1.22945,0.19860426400000009
ROI66,9454,1.26182,0.2309742640000001
ROI66,13431,1.58115,0.5503042640000002
ROI66,14113,1.19574,0.16489426400000018
ROI67,4935,1.17995,0.15475908000000005
ROI67,6814,1.26571,0.24051907999999989
ROI67,13431,1.48207,0.45687908
ROI67,16115,1.3623,0.33710908000000006
ROI68,2650,1.5226,0.49017421333333355
ROI68,4932,1.57726,0.5448342133333337
ROI68,6812,1.57614,0.5437142133333337
ROI68,9444,1.1625,0.1300742133333337
ROI68,13434,1.64952,0.6170942133333337
ROI68,14112,1.18823,0.1558042133333335
ROI69,2651,1.89567,0.8516418400000001
ROI69,4934,1.7659,0.7218718400000002
ROI69,6815,1.59039,0.5463618400000001
ROI69,9457,1.17645,0.13242184000000012
ROI69,13430,1.78109,0.7370618400000002
ROI70,2652,1.86363,0.8173923826666665
ROI70,4934,1.57952,0.5332823826666666
ROI70,6810,1.35821,0.3119723826666665
ROI70,13431,1.58511,0.5388723826666666
ROI71,4939,1.18702,0.168802028
ROI71,6805,1.26777,0.2495520280000001
ROI71,7552,1.2569,0.23868202799999994
ROI71,9454,1.27958,0.26136202799999997
ROI71,13433,1.37596,0.3577420280000001
ROI71,14108,1.17065,0.152432028
